date,temp_max,temp_min,temp_mean,precipitation
1947,292.5809090909091,281.0638181818182,286.67727272727274,367.5
1948,287.920218579235,278.4775956284153,282.8931693989071,570.5
1949,288.5258904109589,278.4554794520548,283.29,442.9
1950,287.36068493150685,278.3223287671233,282.62342465753426,688.8
1951,287.3483561643835,278.74808219178084,282.83136986301366,531.4
1952,286.2724043715847,278.3016393442623,282.2311475409836,717.8
1953,287.49383561643833,278.4127397260274,282.8954794520548,394.2
1954,286.088904109589,277.62342465753426,281.75986301369863,609.9
1955,285.8253424657534,277.2727397260274,281.4256164383562,663.2
1956,285.0852459016393,276.8833333333333,280.84918032786885,602.9
1957,286.83602739726024,278.30205479452053,282.5023287671233,672.6
1958,286.4105479452055,278.31,282.2280821917808,679.1
1959,288.1678082191781,278.14342465753424,283.08589041095894,460.5
1960,286.7273224043716,278.4374316939891,282.514480874317,629.3
1961,287.1809589041096,278.7127397260274,282.88068493150683,701.8
1962,285.59794520547945,276.8568493150685,281.15054794520546,541.8
1963,285.6327397260274,276.64369863013695,281.15849315068493,489.2
1964,286.705737704918,277.93688524590164,282.3502732240437,409.4
1965,285.58561643835617,277.88342465753425,281.5658904109589,1029.4
1966,286.6231506849315,278.99547945205484,282.66287671232874,827.1
1967,287.22589041095887,278.67246575342466,282.916301369863,560.8
1968,285.93360655737706,278.1620218579235,281.96775956284154,757.1
1969,285.9941095890411,277.8475342465754,281.8141095890411,598.7
1970,285.75246575342464,278.11602739726027,281.9001369863014,611.5
1971,287.05246575342466,277.78917808219177,282.4527397260274,533.3
1972,285.9663934426229,277.4409836065574,281.66502732240434,532.9
1973,286.69109589041096,278.0182191780822,282.31931506849315,498.8
1974,287.03383561643835,278.9527397260274,282.93958904109587,647.1
1975,287.2042465753425,278.91657534246576,283.0031506849315,456.2
1976,287.342349726776,278.23715846994537,282.918306010929,370.5
1977,286.82753424657534,278.76260273972605,282.77164383561643,665.1
1978,285.8623287671233,277.8779452054794,281.8431506849315,605.8
1979,286.43630136986303,277.9341095890411,282.01164383561644,596.8
1980,285.9931693989071,277.96612021857925,281.8172131147541,505.8
1981,286.2795890410959,278.2943835616438,282.1784931506849,775.1
1982,287.07109589041096,278.61383561643834,282.7042465753425,499.3
1983,287.1708219178082,278.7809589041096,282.8480821917808,538.9
1984,285.7360655737705,278.05737704918033,281.70136612021855,565.0
1985,285.6787671232877,276.9817808219178,281.1905479452055,512.0
1986,286.23684931506847,277.8908219178082,281.9042465753425,742.3
1987,285.39465753424656,277.82205479452057,281.3935616438356,690.8
1988,287.06775956284156,279.20601092896175,282.9915300546448,746.9
1989,287.8045205479452,279.117397260274,283.3113698630137,538.5
1990,287.9727397260274,278.991095890411,283.31684931506845,519.0
1991,286.81,278.0023287671233,282.31164383561645,394.1
1992,287.4327868852459,279.00956284153006,283.0568306010929,706.8
1993,287.30068493150685,278.5546575342466,282.6839726027397,528.7
1994,288.3584931506849,279.8995890410959,283.94260273972606,588.9
1995,287.1031506849315,279.10561643835615,282.9086301369863,758.1
1996,285.4554644808743,277.47131147540983,281.2825136612022,515.1
1997,287.56753424657535,278.6853424657534,282.9031506849315,516.7
1998,287.4582191780822,279.1776712328767,283.1741095890411,599.8
1999,287.83465753424656,279.422602739726,283.3716438356164,559.6
2000,288.2308743169399,279.86830601092896,283.8666666666667,554.8
2001,287.41356164383564,279.008904109589,283.0464383561644,613.4
2002,287.7795890410959,279.42342465753427,283.4609589041096,806.1
2003,288.87109589041097,278.8256164383562,283.723698630137,410.4
2004,287.3636612021858,278.8273224043716,282.9448087431694,552.7
2005,287.55246575342466,278.60479452054796,282.9497260273972,575.1
2006,288.0957534246575,279.15356164383564,283.39000000000004,617.5
2007,288.24095890410956,279.41328767123287,283.7023287671233,733.1
2008,287.9756830601093,279.2918032786885,283.4174863387978,571.4
2009,287.82671232876714,278.9031506849315,283.2116438356164,556.6
2010,286.34945205479454,278.02342465753424,282.06671232876715,744.2
2011,288.80890410958904,279.2053424657534,283.79739726027395,519.6
2012,288.2120218579235,278.9718579234973,283.4789617486339,539.0
2013,287.0286301369863,278.944794520548,282.8335616438356,660.3
2014,288.9869863013699,280.15301369863016,284.3954794520548,538.6
2015,289.02232876712327,279.6204109589041,284.22972602739725,448.1
2016,287.97486338797813,279.3360655737705,283.48743169398904,550.8
2017,288.14643835616437,279.3097260273973,283.54506849315067,628.9
2018,290.0469863013698,280.12698630136987,284.8921917808219,432.09999999999997
2019,289.3102739726027,279.62753424657535,284.3576712328767,490.7
2020,289.36092896174864,279.7166666666667,284.4693989071038,494.1
